oppId,oppName
OPP0001,#22 Oregon
OPP0002,BYU
OPP0003,California Baptist
OPP0004,#3 Oklahoma State
OPP0005,North Dakota State
OPP0006,Virginia
OPP0007,North Carolina
OPP0008,Texas A&M Commerce
OPP0009,Baylor
OPP0010,Minnesota
OPP0011,Saint Joseph's
OPP0012,East Carolina
OPP0013,Monmouth
OPP0014,Fairfield
OPP0015,Ball State
OPP0016,Sacred Heart
OPP0017,North Dakota
OPP0018,Texas Tech
OPP0019,Bucknell
OPP0020,Indiana
OPP0021,Maryland Eastern Shore
OPP0022,Michigan State
OPP0023,Rutgers
OPP0024,Nebraska
OPP0025,Iowa
OPP0026,UMBC
OPP0027,Penn State
OPP0028,Wisconsin
OPP0029,Towson
OPP0030,Illinois
OPP0031,#9 Iowa
OPP0032,CSUN
OPP0033,San Jose State
OPP0034,#18 Tennessee
OPP0035,Florida International University
OPP0036,UNC Greensboro
OPP0037,#24 Liberty
OPP0038,Stetson
OPP0039,FAU
OPP0040,Bethune-Cookman
OPP0041,#17 Missouri
OPP0042,Central Michigan
OPP0043,North Carolina A&T
OPP0044,Coastal Carolina
OPP0045,Dartmouth
OPP0046,Villanova
OPP0047,Charlotte
OPP0048,Boston College
OPP0049,#8 Arkansas
OPP0050,James Madison
OPP0051,Army
OPP0052,Binghamton
OPP0053,North Dakota State University
OPP0054,Coppin State
OPP0055,Purdue
OPP0056,#22 Michigan
OPP0057,Ohio State
OPP0058,#4 Seed Michigan
OPP0059,#24 Minnesota
OPP0060,Northwestern
OPP0061,Wichita State
OPP0062,#6 Texas
OPP0063,Colorado State
OPP0064,Lamar
OPP0065,Texas A&M-Corpus Christi
OPP0066,Clemson
OPP0067,Pittsburgh
OPP0068,Furman
OPP0069,Evansville
OPP0070,Georgia Southern
OPP0071,Southern Utah
OPP0072,Arizona State
OPP0073,Tulsa
OPP0074,Florida International
OPP0075,Samford
OPP0076,Murray State
OPP0077,Troy
OPP0078,#9 Alabama
OPP0079,Nicholls State
OPP0080,Houston
OPP0081,UL-Monroe
OPP0082,Nevada
OPP0083,Portland State
OPP0084,UC Riverside
OPP0085,UNLV
OPP0086,George Washington
OPP0087,UT-Martin
OPP0088,Rhode Island
OPP0089,Bryant
OPP0090,#20 Minnesota
OPP0091,RV Ohio State
OPP0092,Cal Poly
OPP0093,Middle Tennessee
OPP0094,Delaware
OPP0095,Auburn
OPP0096,Saint Francis
OPP0097,Iowa State
OPP0098,Florida
OPP0099,Illinois State
OPP0100,IUPUI
OPP0101,Louisville
OPP0102,Eastern Illinois
OPP0103,Miami OH
OPP0104,Utah
OPP0105,Jacksonville
OPP0106,Yale
OPP0107,Tennessee
OPP0108,Cleveland State
OPP0109,Hawai'i
OPP0110,Michigan
OPP0111,Texas
OPP0112,FIU
OPP0113,Northwestern State
OPP0114,Florida A&M
OPP0115,Drake
OPP0116,Bowling Green
OPP0117,Bradley
OPP0118,Louisiana-Lafayette
OPP0119,Butler
OPP0120,Oregon
OPP0121,Stephen F. Austin
OPP0122,Missouri
OPP0123,UT Martin
OPP0124,Iona
OPP0125,Weber State
OPP0126,Buffalo
OPP0127,St. John's
OPP0128,Boise State
OPP0129,San Diego
OPP0130,Utah State
OPP0131,Alabama
OPP0132,Georgia State
OPP0133,Mercer
OPP0134,Boston University
OPP0135,Columbia
OPP0136,Florida Atlantic
OPP0137,Stony Brook
OPP0138,Georgetown
OPP0139,Saint Louis
OPP0140,Brigham Young
OPP0141,Oklahoma
OPP0142,Massachusetts
OPP0143,Virginia Tech
OPP0144,Lafayette
OPP0145,Providence
OPP0146,Drexel
OPP0147,Notre Dame
OPP0148,Long Beach State
OPP0149,Fordham
OPP0150,Mississippi State
OPP0151,Northern Iowa
OPP0152,UCF
OPP0153,Princeton
OPP0154,St. Francis
OPP0155,Ilinois
OPP0156,DePaul
OPP0157,South Carolina
OPP0158,LIU
OPP0159,Washington
OPP0160,Stanford
OPP0161,UCLA
OPP0162,Nebraska-Omaha
OPP0163,Radford
OPP0164,Georgia Tech
OPP0165,Syracuse
OPP0166,Florida State
OPP0167,Delaware State
OPP0168,Howard
OPP0169,LIU Brooklyn
OPP0170,Oregon State
OPP0171,California
OPP0172,Hofstra
OPP0173,SETON HALL
OPP0174,HAMPTON
OPP0175,Oklahoma State
OPP0176,Temple
OPP0177,Valparaiso
OPP0178,North Carolina State
OPP0179,George Mason
OPP0180,Long Island
OPP0181,Wright State
OPP0182,Kentucky
OPP0183,OAKLAND
OPP0184,Southern Illinois
OPP0185,Marshall
OPP0186,UAB
OPP0187,KENT STATE
OPP0188,Bryant University
OPP0189,Canisius
OPP0190,Florida Gulf Coast
OPP0191,Harvard
OPP0192,Lipscomb
OPP0193,Georgia
OPP0194,Connecticut
OPP0195,Longwood
OPP0196,Quinnipiac
OPP0197,NC STATE
OPP0198,LEHIGH
OPP0199,Mississippi
OPP0200,MOUNT ST. MARY'S
OPP0201,Akron
OPP0202,North Florida
OPP0203,UC Santa Barbara
OPP0204,Fresno State
OPP0205,Centenary College
OPP0206,Manhattan
OPP0207,Gardner-Webb
OPP0208,Elon
OPP0209,Vermont
OPP0210,St. Peter's
OPP0211,Niagara
OPP0212,Loyola Marymount
OPP0213,Cal
OPP0214,New Mexico State
OPP0215,CENTRAL CONNECTICUT STATE
OPP0216,MOUNT SAINT MARY'S
OPP0217,Charleston Southern
OPP0218,Arizona
OPP0219,Cal St Fullerton
OPP0220,UIC
OPP0221,Western Michigan
OPP0222,Cornell
OPP0223,Norfolk State
OPP0224,Morgan State
OPP0225,Brown
OPP0226,Troy State
OPP0227,St. Joseph's
OPP0228,UNC-Wilmington
OPP0229,Winthrop
OPP0230,Troy St
OPP0231,Maryland-Eastern Shore
OPP0232,St Francis Pa
OPP0233,South Florida
OPP0234,Oklahoma St
OPP0235,Michigan St
OPP0236,Tenn Chattanooga
OPP0237,Western Ky
OPP0238,Tennessee Tech
OPP0239,Penn St
OPP0240,Georgia St
OPP0241,La Salle
OPP0242,Western Kentucky
OPP0243,Siena
OPP0244,St Josephs Pa
OPP0245,Monmouth Ill
OPP0246,Morgan St
OPP0247,Liberty
OPP0248,Boston
OPP0249,Campbell
OPP0250,Ohio
OPP0251,Illinois-Chicago
OPP0252,Bethune Cookman
OPP0253,Kansas
OPP0254,Sw Missouri St
OPP0255,SW Missouri State
OPP0256,Ohio St
OPP0257,Miami
OPP0258,UNC Wilmington
OPP0259,UMES
OPP0260,Youngstown State
OPP0261,UNC Charlotte
OPP0262,Robert Morris
OPP0263,Southwest Louisiana
OPP0264,Southwest Missouri
OPP0265,Bucknell University
OPP0266,Eastern Michigan
OPP0267,Mount Olive
OPP0268,Barton
OPP0269,Chattanooga
OPP0270,Goldey-Beacom
OPP0271,Bowie State
OPP0272,Charleston
OPP0273,Toledo
OPP0274,Anne Arundel CC
OPP0275,Trenton State
